filename,time_sec,peak_mem_kb,result
uf20-010.cnf,1.3056,225,SAT
uf20-0100.cnf,3.9263,204,SAT
uf20-01000.cnf,12.7023,221,SAT
uf20-0101.cnf,15.2458,215,SAT
uf20-0102.cnf,3.6632,213,SAT
uf20-0103.cnf,1.0119,204,SAT
uf20-0104.cnf,11.3983,223,SAT
uf20-0105.cnf,2.1042,198,SAT
uf20-0106.cnf,3.9497,191,SAT
uf20-0107.cnf,7.3240,219,SAT
uf20-0108.cnf,0.9301,215,SAT
uf20-0109.cnf,5.0657,211,SAT
uf20-011.cnf,3.5347,213,SAT
uf20-0110.cnf,0.0980,171,SAT
uf20-0111.cnf,0.0903,167,SAT
uf20-0112.cnf,4.3734,207,SAT
uf20-0113.cnf,4.0371,212,SAT
uf20-0114.cnf,0.0061,123,SAT
uf20-0115.cnf,12.3957,220,SAT
uf20-0116.cnf,1.6274,168,SAT
uf20-0117.cnf,10.5598,232,SAT
uf20-0118.cnf,14.7223,214,SAT
uf20-0119.cnf,0.6175,195,SAT
uf20-012.cnf,4.8158,231,SAT
uf20-0120.cnf,0.0300,166,SAT
uf20-0121.cnf,12.3118,215,SAT
uf20-0122.cnf,13.6536,213,SAT
uf20-0123.cnf,9.2570,220,SAT
uf20-0124.cnf,0.7981,200,SAT
uf20-0125.cnf,1.7381,216,SAT
uf20-0126.cnf,0.1760,177,SAT
uf20-0127.cnf,0.0037,153,SAT
uf20-0128.cnf,0.0078,160,SAT
uf20-0129.cnf,4.9518,210,SAT
uf20-013.cnf,0.7124,193,SAT
uf20-0130.cnf,10.2443,228,SAT
uf20-0131.cnf,0.0801,166,SAT
uf20-0132.cnf,6.9186,213,SAT
uf20-0133.cnf,8.9098,209,SAT
uf20-0134.cnf,0.1313,142,SAT
uf20-0135.cnf,0.6657,206,SAT
uf20-0136.cnf,3.5132,210,SAT
uf20-0137.cnf,0.0908,153,SAT
uf20-0138.cnf,2.7254,203,SAT
uf20-0139.cnf,4.0780,211,SAT
uf20-014.cnf,6.5629,212,SAT
uf20-0140.cnf,3.8784,217,SAT
uf20-0141.cnf,3.4372,216,SAT
uf20-0142.cnf,6.6266,213,SAT
uf20-0143.cnf,1.9230,226,SAT
uf20-0144.cnf,0.1778,156,SAT
uf20-0145.cnf,6.0198,219,SAT
uf20-0146.cnf,0.8990,191,SAT
