filename,time_sec,peak_mem_kb,result
uf20-010.cnf,0.0088,5,SAT
uf20-0100.cnf,0.0014,0,SAT
uf20-01000.cnf,0.0025,1,SAT
uf20-0101.cnf,0.0112,0,SAT
uf20-0102.cnf,0.0065,0,SAT
uf20-0103.cnf,0.0242,0,SAT
uf20-0104.cnf,0.0012,0,SAT
uf20-0105.cnf,0.0221,0,SAT
uf20-0106.cnf,0.0114,0,SAT
uf20-0107.cnf,0.0069,0,SAT
uf20-0108.cnf,0.0099,0,SAT
uf20-0109.cnf,0.0230,0,SAT
uf20-011.cnf,0.0015,0,SAT
uf20-0110.cnf,0.0007,0,SAT
uf20-0111.cnf,0.0014,0,SAT
uf20-0112.cnf,0.0017,0,SAT
uf20-0113.cnf,0.0126,0,SAT
uf20-0114.cnf,0.0019,0,SAT
uf20-0115.cnf,0.0011,0,SAT
uf20-0116.cnf,0.0029,0,SAT
uf20-0117.cnf,0.0052,0,SAT
uf20-0118.cnf,0.0024,0,SAT
uf20-0119.cnf,0.0380,0,SAT
uf20-012.cnf,0.0009,0,SAT
uf20-0120.cnf,0.0058,0,SAT
uf20-0121.cnf,0.0012,0,SAT
uf20-0122.cnf,0.0033,0,SAT
uf20-0123.cnf,0.0274,0,SAT
uf20-0124.cnf,0.0017,0,SAT
uf20-0125.cnf,0.0020,0,SAT
uf20-0126.cnf,0.0042,0,SAT
uf20-0127.cnf,0.0016,0,SAT
uf20-0128.cnf,0.0060,0,SAT
uf20-0129.cnf,0.0091,0,SAT
uf20-013.cnf,0.0053,0,SAT
uf20-0130.cnf,0.0009,0,SAT
uf20-0131.cnf,0.0010,0,SAT
uf20-0132.cnf,0.0036,0,SAT
uf20-0133.cnf,0.0077,0,SAT
uf20-0134.cnf,0.0007,0,SAT
uf20-0135.cnf,0.0168,0,SAT
uf20-0136.cnf,0.0039,0,SAT
uf20-0137.cnf,0.0007,0,SAT
uf20-0138.cnf,0.0028,0,SAT
uf20-0139.cnf,0.0009,0,SAT
uf20-014.cnf,0.0040,0,SAT
uf20-0140.cnf,0.0031,0,SAT
uf20-0141.cnf,0.0087,0,SAT
uf20-0142.cnf,0.0034,0,SAT
uf20-0143.cnf,0.0008,0,SAT
uf20-0144.cnf,0.0024,0,SAT
uf20-0145.cnf,0.0019,0,SAT
uf20-0146.cnf,0.0162,0,SAT
uf20-0147.cnf,0.0387,0,SAT
uf20-0148.cnf,0.0029,0,SAT
uf20-0149.cnf,0.0056,0,SAT
uf20-015.cnf,0.0038,0,SAT
uf20-0150.cnf,0.0117,0,SAT
uf20-0151.cnf,0.0007,0,SAT
uf20-0152.cnf,0.0026,0,SAT
uf20-0153.cnf,0.0028,0,SAT
uf20-0154.cnf,0.0022,0,SAT
uf20-0155.cnf,0.0022,0,SAT
uf20-0156.cnf,0.0020,0,SAT
uf20-0157.cnf,0.0013,0,SAT
uf20-0158.cnf,0.0041,0,SAT
uf20-0159.cnf,0.0058,0,SAT
uf20-016.cnf,0.0024,0,SAT
uf20-0160.cnf,0.1635,0,SAT
uf20-0161.cnf,0.0016,0,SAT
uf20-0162.cnf,0.0010,0,SAT
uf20-0163.cnf,0.0015,0,SAT
uf20-0164.cnf,0.0005,0,SAT
uf20-0165.cnf,0.0007,0,SAT
uf20-0166.cnf,0.0252,0,SAT
uf20-0167.cnf,0.0037,0,SAT
uf20-0168.cnf,0.0093,0,SAT
uf20-0169.cnf,0.0112,0,SAT
uf20-017.cnf,0.0069,0,SAT
uf20-0170.cnf,0.0029,0,SAT
uf20-0171.cnf,0.0028,0,SAT
uf20-0172.cnf,0.0252,0,SAT
uf20-0173.cnf,0.0007,0,SAT
uf20-0174.cnf,0.0009,0,SAT
uf20-0175.cnf,0.0022,0,SAT
uf20-0176.cnf,0.0015,0,SAT
uf20-0177.cnf,0.0298,0,SAT
uf20-0178.cnf,0.0217,0,SAT
uf20-0179.cnf,0.0045,0,SAT
uf20-018.cnf,0.0099,0,SAT
uf20-0180.cnf,0.0205,0,SAT
uf20-0181.cnf,0.0039,0,SAT
uf20-0182.cnf,0.0015,0,SAT
uf20-0183.cnf,0.0365,0,SAT
uf20-0184.cnf,0.0193,0,SAT
uf20-0185.cnf,0.0194,0,SAT
uf20-0186.cnf,0.0021,0,SAT
uf20-0187.cnf,0.0040,0,SAT
uf20-0188.cnf,0.0025,0,SAT
uf20-0189.cnf,0.0028,0,SAT
uf20-019.cnf,0.0113,0,SAT
uf20-0190.cnf,0.0073,0,SAT
uf20-0191.cnf,0.0203,0,SAT
uf20-0192.cnf,0.0015,0,SAT
uf20-0193.cnf,0.2431,0,SAT
uf20-0194.cnf,0.0011,0,SAT
uf20-0195.cnf,0.0044,0,SAT
uf20-0196.cnf,0.0054,0,SAT
uf20-0197.cnf,0.0058,0,SAT
uf20-0198.cnf,0.0029,0,SAT
uf20-0199.cnf,0.0013,0,SAT
uf20-020.cnf,0.0014,0,SAT
uf20-0200.cnf,0.0058,0,SAT
uf20-0201.cnf,0.0020,0,SAT
uf20-0202.cnf,0.0012,0,SAT
uf20-0203.cnf,0.0146,0,SAT
uf20-0204.cnf,0.0011,0,SAT
uf20-0205.cnf,0.0131,0,SAT
uf20-0206.cnf,0.0006,0,SAT
uf20-0207.cnf,0.0125,0,SAT
uf20-0208.cnf,0.0006,0,SAT
uf20-0209.cnf,0.0349,0,SAT
uf20-021.cnf,0.0122,0,SAT
uf20-0210.cnf,0.0025,0,SAT
uf20-0211.cnf,0.0076,0,SAT
uf20-0212.cnf,0.0037,0,SAT
uf20-0213.cnf,0.0007,0,SAT
uf20-0214.cnf,0.0048,0,SAT
uf20-0215.cnf,0.0053,0,SAT
uf20-0216.cnf,0.0084,0,SAT
